連番,アイテム名
1,石
2,欠けたルビー
3,欠けたサファイア
4,欠けたトパーズ
5,欠けたエメラルド
6,欠けたアメシスト
7,勇気の星
8,ニンニク
9,石炭のかたまり
10,ひとつかみの砂
11,輝く殻
12,チビバート
13,ブルーベリー
14,燃える石炭
15,傷物のルビー
16,傷物のサファイア
17,傷物のトパーズ
18,傷物のエメラルド
19,傷物のアメシスト
20,守護のハンドバッグ
21,木の剣
22,バナナ
23,ブタちゃん貯金箱
24,石入り袋
25,ウエストポーチ
26,未知のスキル
27,癒やしのハーブ
28,フライパン
29,ホウキ
30,木の盾
31,セイウチの牙
32,砥石
33,ゴーストダガー
34,革のカバン
35,ダガー
36,迅速のクローブ
37,ヘルスポーション
38,ショップ会員カード
39,雪玉
40,普通のルビー
41,普通のサファイア
42,普通のトパーズ
43,普通のエメラルド
44,普通のアメシスト
45,富の宝箱
46,たいまつ
47,殻のトーテム
48,燃えるたいまつ
49,サンドバッグ卿
50,スタミナバッグ
51,財宝の箱
52,ポーションベルト
53,スパイシーバナナ
54,臭い立つ防壁
55,ブタちゃんピニャータ
56,投資機会
57,大容量
58,イッツ・スライムタイム！
59,サルでもわかる鍛冶
60,ちょっと力を！
61,ユニークなユニーク
62,深堀り
63,ナイフ・トゥ・ミーチュー
64,庇護
65,石塁
66,魔法熟達
67,月の力
68,ガブ飲み
69,ガールパワー
70,血操術
71,爆ぜる荊棘
72,こだまする雄叫び
73,武器エンチャント
74,急かさないで！
75,ダブルレインボー
76,偽りの命
77,フォルトゥナのキス
78,堅木
79,神の光も金次第
80,バッグり仰天
81,もっと力を！
82,時間融解
83,全身防備
84,リーフバッジ
85,スカルバッジ
86,ウルフバッジ
87,フレイムバッジ
88,レインボーバッジ
89,ストーンバッジ
90,メイジバッジ
91,パズルバッジ
92,結び糸バッジ
93,スピア
94,未鑑定のアミュレット
95,生命のアミュレット
96,鋼鉄のアミュレット
97,大食のアミュレット
98,暗黒のアミュレット
99,活力のアミュレット
100,野生のアミュレット
101,秘術のアミュレット
102,幸福のアミュレット
103,スラバート
104,シェリー
105,革のブーツ
106,硬肌のポーション
107,フルート
108,マナオーブ
109,不安定な再構築器
110,マナポーション
111,スタミナポーション
112,パイナップル
113,幸運泥棒のアリスイ
114,ポポ
115,スノーケーキ
116,安定した再構築器
117,チェストナット君
118,革の鎧
119,飢えたる剣
120,疫毒のポーション
121,不屈のヘルム
122,堕落のクリスタル
123,オイルランプ
124,英雄の剣
125,旅行カバン
126,聖なるポーション
127,ラッパ
128,ハッピーボム
129,血の大鎌
130,悪党の剣
131,吸血のポーション
132,ハンマー
133,時間膨張時計
134,シャベル
135,トゲの盾
136,パンプキン
137,羊飼いの杖
138,キューバート
139,イバラのムチ
140,無傷のルビー
141,無傷のサファイア
142,無傷のトパーズ
143,無傷なエメラルド
144,無傷なアメシスト
145,グラグラ雪ダルマ
146,アタッククロー
147,ハイヘルスポーション
148,クトゥルフ
149,プラチナ会員カード
150,古代の石：デス
151,反復機
152,凍てつく盾
153,血のアミュレット
154,ジンジャーブレッド・ジェリー
155,雪の棒
156,極硬肌のポーション
157,コインの山
158,ノコ刃の剣
159,ハイヒーローポーション
160,古代の石：フレイム
161,ダンシングドラゴン
162,魔法の杖
163,ルビーエッグ
164,招きネコ
165,古代の石：フリーズ
166,エッグスカリバー
167,剛力のグローブ
168,ライトセイバー
169,ルビーの幼竜
170,ティム
171,不気味な存在
172,プレゼント
173,びっくりサック
174,ポイズンダガー
175,氷の鎧
176,パンダモニウム
177,魔法のたいまつ
178,フロストバイト
179,魔神のランプ
180,勇気の盾
181,聖なる鎧
182,ブラッディダガー
183,石のブーツ
184,優美なるレイピア
185,輝ける王冠
